email,name,company,city,industry,status
b3ff3ec157490385f92bbb85c82cf50b,Dorothy Adams,Et Malesuada Fames Foundation,Kanchrapara,Gaming,3 - Contact Made
4034bdc87381cc41c634c5d746e78e56,Steel Martinez,,Wigtown,Transportation,3 - Contact Made
a45939650e8d3a306258fc6d726590fb,Ulysses Whitaker,Nunc Ltd,,Gaming,5 - Converted to opportunity
fae74511b138658bf5f41d074ab4b2a3,Barrett Pearson,Penatibus Et Magnis Limited,,Healthcare,3 - Contact Made
99497c4e9721980a217d6f40e7f1cad2,Hayes Jacobs,,,Gaming,3 - Contact Made
97d6a91748d08555eccfaf92d460e677,Alfonso Hopper,Mauris Industries,,Simulation,3 - Contact Made
aff0d296b5d4dd3241be324d863872c5,Hayley Rodriquez,Lacus Quisque Inc.,,Gaming,3 - Contact Made
9ea6e7802d9e77f859ee9f49ace0342b,Colette Monroe,Arcu Associates,Broken Arrow,Gaming,5 - Converted to opportunity
dd556c088522b21619011d7f3c4d24ef,Calvin Steele,A Mi Incorporated,Vannes,Other,3 - Contact Made
9afadf6cac238ed80e37f894ff926346,Tad Stephens,Orci Institute,,Gaming,3 - Contact Made
0af8b76fd0d15ac5bf0aad69323e5b32,Hope Gilbert,Eleifend Egestas Incorporated,,VR,5 - Converted to opportunity
c6fe5fbd33baf4c4aab59aa0f67a4a95,Brenda Mcpherson,Eleifend Egestas Incorporated,,VR,5 - Converted to opportunity
3a345cada0b907acd5d921d9943518f7,Kerry Suarez,,,Other,3 - Contact Made
bbd46daae1ac2e2eea44bab386a85be9,Sierra Mason,Varius Et Associates,,Academia,3 - Contact Made
2d93bc969007d3ec0e24ae7bececce9b,Hamilton Cooley,Condimentum Donec Inc.,,Academia,3 - Contact Made
470beb4f5e9ddce7ef3c008cbf228020,Daryl Ashley,,,Gaming,4 - Nurturing
e64109818b551f5a0e053b51962036a8,Echo Kemp,Quam LLC,,Telecoms,4 - Nurturing
fe3673a9daee528d422a055a6d9b38fe,Quail Cantu,,,IT Firm,4 - Nurturing
add953c8fc9427b8e4962209113634d8,Ezra Freeman,,,Infrastructure,3 - Contact Made
b62818e6f945c2a82425d35ffc686f3b,Sylvester Castaneda,Integer Corporation,,Gaming,3 - Contact Made
6ab6644819571615b389dc23336be71e,Lisandra Medina,,,Telecoms,3 - Contact Made
f85c91c213f4277dfca07e98d7586a33,Leigh Thomas,Blandit Nam Nulla Limited,,Academia,3 - Contact Made
8ce8343f4d65900f0c997efde721aa9d,Galvin Berger,Dui Semper LLC,Padre las Casas,Gaming,4 - Nurturing
4f4e9833a56fd778d2ae4456b99e761d,Mariko Townsend,Lorem Inc.,,IT Firm,3 - Contact Made
152f0c0794efe1a4114cf1591562c0ed,Indigo Sparks,Congue Consulting,,Gaming,3 - Contact Made
109a7ff637ebb798e5a36f0cc9d15bf3,Lucy Woodard,Sed Eu Nibh Company,,IT Firm,3 - Contact Made
893aa50bcd7128d183a24fd46af055c9,Luke Maldonado,,,IT Firm,3 - Contact Made
be6d94905823b2a46e8426257072dc97,Blair Donovan,A Odio Semper Corp.,Dudley,IT Firm,3 - Contact Made
78fcfbc2431773a5e2ed139a3336af6b,Urielle Garrison,,,Infrastructure,3 - Contact Made
69124e9ea6e7676ef9f8dc0b3661ae94,Daquan Bradford,,,Telecoms,3 - Contact Made
7caadbd233c8975bbc70c3839350aa67,Sonia Hahn,Est Mauris Corp.,,Gaming,4 - Nurturing
7093589ad1cf595a2ce8dcbedc3fde58,Dora Hatfield,Ut Nec Associates,,IT Firm,3 - Contact Made
88fa874040caa742f3bce5d92029ab98,Hammett Morgan,,,Gaming,3 - Contact Made
eaddf1e7ae90b40c4a054af49c53b867,Ishmael Fletcher,Mollis Integer LLC,,Gaming,3 - Contact Made
9ad0e4cf75188fcb106a80b33bd0cd15,Karen Romero,Ultrices Posuere Institute,,Transportation,2 - Contact attempted
0e674a1e6034d7db97bc77387122de7d,Daria Head,Fames Associates,,Finance,3 - Contact Made
9327e6e8d6750012b0c86e1208634e68,Cally Bean,Dui Incorporated,Waren,Gaming,4 - Nurturing
430b45b7a0bf5ec09f6f5833acdab265,Amal Franco,,,Gaming,4 - Nurturing
79da2bcd216864e87242230121de4109,Baxter Cote,Pulvinar Limited,,Gaming,4 - Nurturing
7e7ef0e62f7f9056f48a78c94d51b8a1,Shelley Mullen,,,Infrastructure,3 - Contact Made
17c530391502ec02eb4f0c20c1e8c245,Henry Higgins,Semper Pretium Incorporated,,Transportation,3 - Contact Made
664e1cbff5558c63d8ea40158ace9bfd,Marshall Gallegos,Posuere Vulputate Lacus Company,,Gaming,3 - Contact Made
4e415b43a099af02686f805b1a41c34d,Bradley Avila,Nunc Ltd,Spormaggiore,Gaming,5 - Converted to opportunity
9cdd20586b40c6c746d8ab847bacd5e8,Donovan Armstrong,Nulla Corporation,,Corporate,3 - Contact Made
e5eaf92ed4c0a572966f88c1a4dacd32,Juliet Pollard,,Mackay,Finance,3 - Contact Made
d8712838fda91e5cf8712a8a310b25c7,Nathan Roth,Velit Foundation,,Gaming,2 - Contact attempted
e123c3a5e46689f55080232138407020,Roanna Sampson,,Castel San NiccolÌ_,Gaming,3 - Contact Made
36690aa4f2258a8ef6ce37faae8b66eb,George Rasmussen,Sed Ltd,,IT Firm,4 - Nurturing
4d982fddb30ed631e591fd5a412173c6,Silas Gates,Simcity Inc,,Simulation,5 - Converted to opportunity
19ca9ce2c630d15d4a639068ce4e0381,Thane Valencia,In Tempus Eu Foundation,,Gaming,3 - Contact Made
e6f89c0e36db577e539f5ad5a0afdef0,Winifred Banks,,,Corporate,3 - Contact Made
81dfc68bb9e81bcad1195b8535fe0344,Paki Murray,,,VR,3 - Contact Made
9846e89dd6b7805ece8c2c6ed0b35fba,Caesar Keller,Mauris Blandit Associates,,Healthcare,3 - Contact Made
c574f46854ae73d5f056b0225cf2abcb,Germaine Drake,,,Healthcare,2 - Contact attempted
70d2a135df792270242eb822fbfc59b6,Florence Sanford,,,Simulation,3 - Contact Made
542479b9be4ed999ffea8ddfc90803e9,Ivor Moody,Non Consulting,,Gaming,3 - Contact Made
8ce3a1702c2fd947a5327393e477394f,Henry Robertson,,Owensboro,Gaming,3 - Contact Made
c781d23fe22a76ee62db3fa5a64c441b,Philip Conley,Nonummy Ultricies Ornare Inc.,,Gaming,3 - Contact Made
8a13041e719edf199d3739b4d9a50e25,Scarlet Travis,,,Simulation,4 - Nurturing
0b301f9643fccf1a8ab526888ecb5739,Bevis Owen,Non Enim Commodo Limited,,Gaming,4 - Nurturing
cf3683e6d7ee6742806c6fb14dc0ea0e,Quinn Malone,Laoreet Lectus Quis Associates,,Gaming,4 - Nurturing
eb3ff3d390af96e8f05c346152610fb8,Clayton Curtis,,Algeciras,Other,4 - Nurturing
79b0990008ca31ee8ef47093e510e9e7,Trevor Whitehead,Egestas Ligula Limited,,Gaming,3 - Contact Made
dcda9c682b8ffbdec84a57f04ae39a64,Hiram Vinson,,,Gaming,3 - Contact Made
bb2f0b768aa38ace0df5d36a5a1aa0d5,Bree Barlow,,,Telecoms,3 - Contact Made
8b22deb705b70ce71b10177dd0987b74,Rana Bryant,Elementum Lorem Ut Foundation,Centa San NicolÌ_,Entertainment,3 - Contact Made
997091a451e111ecf7f1f69bdf25ef5b,Bruce Mcknight,Pharetra Consulting,,Gaming,5 - Converted to opportunity
1f710a30f3c526b2cf5c5f3a93043d00,Chantale Sims,,,Academia,3 - Contact Made
ec84bb65797a90e258b34ab4779aeede,Coby Underwood,,Maryborough,IT Firm,3 - Contact Made
f64be6730f3956e8c480c88de5544e4c,Hyatt Britt,,,IT Firm,3 - Contact Made
8846b123ecece077bd0998f5704c5828,Mari Howard,,Lille,Gaming,3 - Contact Made
204e8708b56a26e98c5a00a23b9ac804,Selma Kent,,,Gaming,3 - Contact Made
f3fdbd1f900edffa16bb5125b66afd51,Cassady Bishop,,,Gaming,3 - Contact Made
a40feada081ef1295844188af1c17b62,Aquila Bonner,Metus Company,Habay-la-Neuve,Infrastructure,3 - Contact Made
94d1197b07ffd156db3f6fc0538e94f6,Miranda Ayala,,,Gaming,3 - Contact Made
620369ddd70351e075612128947a636e,Tobias Durham,,,Gaming,3 - Contact Made
31390f6bcf009f27c737fbe52038abeb,Amy Fulton,Vel Lectus Cum PC,,Gaming,3 - Contact Made
cbc2da1dd32873df5c08b0f304ae688b,Lester Jimenez,Ligula Inc.,,Gaming,3 - Contact Made
f2f38ed1b8f407b30dd2174e78132ff6,Portia Crosby,Augue Porttitor Interdum Consulting,,Entertainment,4 - Nurturing
c44be06f72000658e9c230ff891cd12f,Tyler Cooley,Pharetra Consulting,,Gaming,5 - Converted to opportunity
40d2369ae5dec391911ec627bbfd66cc,Casey Greer,Amet Massa Quisque Foundation,,Gaming,5 - Converted to opportunity
0ada93bdc296439cb3867a2fd5419dfb,Dawn Kramer,,,Simulation,3 - Contact Made
2e10c99c40dc787dfd28c1a696ed8854,Rashad Campbell,Elit Inc.,Comblain-au-Pont,Gaming,3 - Contact Made
1e4dd76006db5fb0fa4fecaf67712ae9,Keefe Burch,Pellentesque Foundation,,Academia,3 - Contact Made
ef45393d069f36fe2c52c76649c92dfb,Logan Wiley,,,Academia,3 - Contact Made
38f3968651c92a396eca8ef68cf51aea,Iris Hernandez,Amet Luctus Corporation,,IT Firm,3 - Contact Made
cf8fb3ca57c96e0643e7bf88d5b6e78b,Arden Russell,,Rachecourt,Academia,3 - Contact Made
f0006e2df8cf1e4b96c9218f03ac777d,Leroy Macias,,,Academia,3 - Contact Made
3c5dd44bc9636d0f68e3d2273a4ff73b,Rahim Ferrell,,Relegem,Academia,3 - Contact Made
e1fdfac4229127f9de70c76509208d0d,Olivia Luna,Sit Amet Consulting,,Academia,3 - Contact Made
d45e39b7b61b492dde607df6d8b957ad,Connor Hammond,Tempus Mauris Industries,,Academia,3 - Contact Made
bc5bc559e37938b7d8208837c332baa0,Cullen Snyder,,Lacombe County,Healthcare,3 - Contact Made
8083eef2afb8db69906282ee37cc6d88,Macey Kinney,,Pollena Trocchia,Corporate,3 - Contact Made
011fc460ad2b9b587620133277686cd3,Halee Jimenez,,Bridlington,Gaming,3 - Contact Made
8702d4108e00ed724ed25e9bd0bccf20,Octavius Valencia,,,Gaming,3 - Contact Made
30218ad2b629b93c73e6c1078f23a6ce,TaShya Pugh,Sit Corp.,,Transportation,3 - Contact Made
fae9328c8b1abd4e11d2a947bc5679dc,Patrick Solomon,,Gentbrugge,Simulation,3 - Contact Made
9be04f44a29c784625b5c281331befc8,Phoebe Dickson,,,Gaming,3 - Contact Made
0ca942cb25d092409bdd04c1e0755a86,Tamara Rush,Etiam Laoreet Ltd,,Infrastructure,3 - Contact Made
d421065852c62b8e5cec01f6b9348e2b,Madison Leonard,Sit Amet Institute,,Infrastructure,3 - Contact Made
adde993f29c74e60a5d113ea8604fc01,Blaze Velasquez,Donec Nibh LLC,Signeulx,Gaming,3 - Contact Made
215215d9ffeee21e9d7b87ef8a3e8cfc,Chava Frank,,,Transportation,3 - Contact Made
82ed8439829f659a6c220d2a98295986,Paloma Mejia,,,Gaming,3 - Contact Made
14e177f3c6785788a03aa31dfa5abf68,Hermione Clay,Rhoncus Corporation,,Transportation,3 - Contact Made
0c09b8840d435d8052044c7077186c77,Merritt David,Aenean LLC,,Gaming,5 - Converted to opportunity
c4a706204f56e1a2a803eb0d1ef4d7f5,Leonard Odom,Dui Corporation,,Real Estate,3 - Contact Made
eda471defb7deea0d124fa2e9e5425af,Andrew Wagner,,,Simulation,3 - Contact Made
4e0e0c154bf832e95d4e248cca038a90,Sonya Dickson,Sed Congue Company,,Real Estate,3 - Contact Made
d4403773c642051d3f26465cdb398873,Dexter Sawyer,Eget Ltd,,Real Estate,3 - Contact Made
1db7b3dad0c95ab5ec2259a622e88c88,Maisie Burgess,Nonummy Fusce Limited,,Corporate,2 - Contact attempted
69dfea74d8c66070025e51bf1c0c9260,Ina Moses,,Bouge,Finance,3 - Contact Made
56e7eaea331d19a49540ac1ecb8e4c64,Cara Glass,In At Industries,,Gaming,3 - Contact Made
d165719841edeb12b2eb61bf1fe99638,Marshall Austin,Fusce Aliquam Foundation,,Gaming,3 - Contact Made
18caad1d3267fc1de0f5a0ada7e7d13f,Tanya Lyons,,,Entertainment,3 - Contact Made
58b7c431c5e616676226328c4ce079f5,Lacey Strong,Aenean LLC,,Gaming,5 - Converted to opportunity
195258fe355df8e5a3d39bd480656294,Caesar Cannon,Eget Corp.,,VR,3 - Contact Made
453700eec46c129c3beb18751ca34ad4,Barrett Bishop,Gravida Sagittis Associates,,Gaming,3 - Contact Made
71889fe4f3cc7ede73589fb83e7f7220,Christian Dunlap,,Villenave-d'Ornon,Gaming,3 - Contact Made
fa7dd990e3c06c91096dbf3105ebefc4,Vanna Hardy,,,Academia,3 - Contact Made
ea04025d57c26f1a0d4f88a30d47e75b,Abbot Foley,,Salon-de-Provence,IT Firm,3 - Contact Made
f094d16d4629077846f706f6c4ecd565,Isaac Fuller,,,VR,2 - Contact attempted
b9860e1e7db651bd054aa9eae5614f10,Malcolm Bernard,,,Infrastructure,3 - Contact Made
461dbbef65a5984e48623394797ec6c4,Uta Noble,,Lille,Simulation,2 - Contact attempted
48551e076f147b1e7423a0e2f4b241dc,Quemby Stokes,,,Transportation,3 - Contact Made
07d0670132fe3dd6481f5311642fa511,Gretchen Meyer,,,VR,3 - Contact Made
3af9f0ec091f2ec7d26c514e334db987,Quin Hendrix,,,Academia,3 - Contact Made
e39cdf45a65e4542a7b0e42faac2a850,Lillian Marquez,Hendrerit Consectetuer Foundation,,IT Firm,3 - Contact Made
2535fba2d811c3afe1e80251535e29b1,Pandora Moran,At Limited,,VR,2 - Contact attempted
11c2afc48ba288c55552f9175e1f4fd9,Flynn Lewis,,,Academia,3 - Contact Made
cfaef5019f5d4ac6da2136348cd8a7f4,Oliver Pope,,,Academia,3 - Contact Made
c31af4b6b853e2566c1c8b718b3453b6,Wallace Patrick,Curabitur Sed Tortor LLC,,Healthcare,3 - Contact Made
65cae9879e1be7e204d6cce8c31318b3,Hop Mays,,,IT Firm,3 - Contact Made
ed87527ec50cf92f2e6c600a0749bef4,Coby Beck,Nisi Corp.,,Transportation,3 - Contact Made
554eb718e0a71f97baeb20a9a5d29295,Kirk Andrews,Nulla Eu LLC,,Transportation,3 - Contact Made
8316aa4eb141e966c20d93389fdb7127,Noelle Clemons,Et Corp.,,VR,3 - Contact Made
f55359a255d52e096b34caf5525a2c02,Hayley Bonner,,Leval-Chaudeville,VR,3 - Contact Made
fb3a39a127c5c43abf8558c2b552e35f,Isaiah French,Imperdiet Dictum Incorporated,,VR,3 - Contact Made
fcc3ffe2ec7921388ef0cc5cc7af96cd,Colleen Lee,Laoreet Lectus PC,,VR,3 - Contact Made
9198226fc2a7f0744256754508e80e75,Naomi Cooper,Metaverse inc,,VR,5 - Converted to opportunity
e9d08cbcda999199169eb8fc14ed42f6,Charity Robles,Metaverse inc,,VR,5 - Converted to opportunity
4060f9c43b05e4f9b04a2fe413da3c47,Harper Harding,Non Inc.,,VR,3 - Contact Made
586e0a4ed1a0f57555484b021f657722,Julian Keller,,,VR,3 - Contact Made
d45106d8faeba46cacf8e1dca559fc01,Nerea Benson,Placerat Orci Lacus Company,,VR,3 - Contact Made
e607356209808cffc9217fd45ac7fc93,Tad Snow,Ultrices Company,SÌ¬te,Telecoms,2 - Contact attempted
d8d53c24e68f9a4775706da8a536c5d9,Donna Valentine,,,Finance,3 - Contact Made
7f557d9d237631c83f53f188db532744,Caleb Walsh,,,IT Firm,2 - Contact attempted
76e10e1125c6eee04425041bb83c3a0a,Bruce Klein,,,IT Firm,3 - Contact Made
5eb00631077f82278ff07e8660f00d5b,Melissa Rocha,Tristique Senectus Limited,,VR,3 - Contact Made
01cfbcec276da0125af052e565ded014,Nelle Zimmerman,,,VR,3 - Contact Made
58a635bc8b440cf5cbd354bab059fd05,Olga Watson,Nunc Id Incorporated,,VR,3 - Contact Made
62a2213da46e4b23b7fef3dd9e4da7f2,Samson Francis,Velit Corp.,,Finance,4 - Nurturing
4dc40ac29c33440eb35c61c87dfaf4eb,Josephine Anderson,Vel Est Tempor Consulting,Serampore,Gaming,4 - Nurturing
fae318f048ddc36b7ce173eaf4b96b20,Rigel Hartman,Augue Ut LLC,Rajkot,Infrastructure,2 - Contact attempted
57217aa2a97b7289d8d17fc16700ac08,Malcolm Gray,Sit Ltd,,Consulting,2 - Contact attempted
ded6e74f56c93f2088b3c983f2a18fcd,Lois Spence,Aptent Taciti LLP,,Gaming,2 - Contact attempted
34468fea5fed7bd9de73b3efdf4ddcc8,Cassady Singleton,Tincidunt Nunc Ac Foundation,,Gaming,3 - Contact Made
6d02879ef3c46d4cbaea4e8c1668e4d3,Lenore Hull,,,Gaming,2 - Contact attempted
64ec12191f67a8fe3c5ad827fb9e6171,Alden Ferrell,,Perwez,Simulation,3 - Contact Made
c04d89027f9635ca2e23a3cf893beacd,Ursa Colon,,,Transportation,3 - Contact Made
7c63d5d6a1cba5c670d6a2266a22307e,Lacy David,Cursus A Corporation,,Healthcare,3 - Contact Made
b832cd52d1f20dc0eefafbc81d58f245,Olga Austin,Malesuada Vel Venenatis LLC,,VR,3 - Contact Made
3c9dba1927671e827078152ed86f2809,Jarrod Vega,Amet Massa Quisque Foundation,,Gaming,5 - Converted to opportunity
2a11e608c8366442ab31c92e651eb453,Katell Carr,In Molestie Foundation,,Gaming,5 - Converted to opportunity
240b6d72164c50c44527fd478083c901,Leila Pate,Phasellus Nulla Integer Corp.,,Gaming,3 - Contact Made
5476dbb4f4cab6b52f82348b0de6498d,Daryl Melton,Et Inc.,,Gaming,3 - Contact Made
39ed3cefd149031775f5fedd66b87681,Martin Mcknight,Elementum At Egestas Corporation,,Real Estate,3 - Contact Made
4a76c370654e9b5ec5d594ed479c0152,Tana Ross,,,Gaming,3 - Contact Made
79589f593db20e8ca467cd1bac1303fa,Marny Wilkerson,,,Finance,3 - Contact Made
ecb67954824be5f6ff3a83f635a9717d,Zenia Cameron,,,Gaming,3 - Contact Made
194e3101d62e9e4c17f7a08e27b5d8f5,Inga Simon,Egestas Hendrerit LLC,,Entertainment,4 - Nurturing
362708838816a49a4b65390be5d94051,Wendy Olsen,,,Gaming,3 - Contact Made
d192656e8fbc3e1bf36ded4aef4d12ce,Ulysses Wallace,Senectus Limited,,Infrastructure,3 - Contact Made
7e93a531d97f31879489f3feded43298,Scott Sweeney,Luctus Ut Company,,Simulation,4 - Nurturing
5f9d6081cf99a754f517c1cc4dd923c9,Bell Cruz,Nulla Inc.,Utrecht,Gaming,4 - Nurturing
1f33f6c2352c4b87deb9de31a8608842,Tatyana Delacruz,,,VR,4 - Nurturing
45ebd431888cbb2a9f6d7ba65840ccae,Orli Leon,Pede Cras Ltd,,Infrastructure,3 - Contact Made
dec60d949680527ef368e19a59a03fc7,Ariel Hatfield,,,IT Firm,3 - Contact Made
9812c60babcbd88d1399e63626016013,Brynne Day,Felis Purus Ac Consulting,,Gaming,5 - Converted to opportunity
f081551d295dc6ae7427560cbc3da4ec,Kirk Britt,,,Gaming,3 - Contact Made
27125062963ef9a9af1eb2de358f8ec5,Maisie Rowland,,Stade,Infrastructure,3 - Contact Made
f08402050e08d221c3911083632680b6,Rachel Vega,,,Simulation,3 - Contact Made
f9203bf057f2ba7701dbc073e0dc8fe3,Lael Howe,Arcu Sed Et Industries,Kendal,Gaming,3 - Contact Made
d2c347b4e4a99b21f4ee5fdc79c955e5,Russell Donaldson,,,Academia,3 - Contact Made
8e56e76b8d957996308676b1e0f1d1d5,Keith Mayo,Ipsum Donec Sollicitudin Corporation,,Corporate,3 - Contact Made
4317e04adbe0202dca5fc944b1989519,Minerva Ayers,Dictum Corp.,,Finance,2 - Contact attempted
f7e7b28d3c2504f1eaca7b8f471701ff,Julian Travis,,,Gaming,2 - Contact attempted
66828ae7ec5beb382664c8bfcbecda89,Tate Camacho,Tortor Ltd,,Gaming,2 - Contact attempted
afb20bbb9c27cfa2122242f602da2c1a,Xena Moreno,Dui Cras Pellentesque Incorporated,Buckingham,Gaming,2 - Contact attempted
